Commodity,Date,Unit,Minimum,Maximum,Average
Bamboo Shoot,2023-06-01,KG,90.0,100.0,96.67
Banana,2023-06-01,Per Dozen,140.0,150.0,146.67
Bitter Gourd,2023-06-01,KG,40.0,50.0,45.0
Bottle Gourd,2023-06-01,KG,50.0,60.0,55.0
Brd Leaf Mustard,2023-06-01,KG,30.0,40.0,35.0
Brinjal Long,2023-06-01,KG,40.0,50.0,45.0
Brinjal Round,2023-06-01,KG,50.0,60.0,55.0
Brocauli,2023-06-01,KG,100.0,110.0,106.67
Cabbage(Local),2023-06-01,KG,10.0,15.0,12.4
Capsicum,2023-06-01,KG,80.0,90.0,86.0
Carrot(Local),2023-06-01,KG,70.0,80.0,76.67
Cauli Local,2023-06-01,KG,70.0,80.0,75.0
Cauli Local(Jyapu),2023-06-01,KG,80.0,90.0,85.0
Celery,2023-06-01,KG,150.0,160.0,156.67
Chilli Dry,2023-06-01,KG,450.0,480.0,465.0
Chilli Green,2023-06-01,KG,50.0,60.0,55.0
Chilli Green(Akbare),2023-06-01,KG,300.0,350.0,325.0
Chilli Green(Bullet),2023-06-01,KG,60.0,70.0,65.0
Chilli Green(Machhe),2023-06-01,KG,40.0,50.0,46.67
Christophine,2023-06-01,KG,70.0,80.0,73.33
Clive Dry,2023-06-01,KG,120.0,140.0,130.0
Clive Green,2023-06-01,KG,80.0,90.0,86.67
Coriander Green,2023-06-01,KG,180.0,220.0,200.0
Cow pea(Long),2023-06-01,KG,60.0,70.0,65.0
Cowpea(Short),2023-06-01,KG,50.0,60.0,56.67
Cress Leaf,2023-06-01,KG,90.0,100.0,96.67
Cucumber(Hybrid),2023-06-01,KG,60.0,70.0,65.0
Cucumber(Local),2023-06-01,KG,100.0,120.0,106.0
Drumstick,2023-06-01,KG,60.0,70.0,66.67
Fennel Leaf,2023-06-01,KG,90.0,100.0,96.67
Fenugreek Leaf,2023-06-01,KG,90.0,100.0,96.67
Fish Fresh(Bachuwa),2023-06-01,KG,260.0,280.0,270.0
Fish Fresh(Chhadi),2023-06-01,KG,240.0,260.0,250.0
Fish Fresh(Mungari),2023-06-01,KG,320.0,350.0,335.0
Fish Fresh(Rahu),2023-06-01,KG,330.0,350.0,340.0
French Bean(Hybrid),2023-06-01,KG,70.0,80.0,75.0
French Bean(Local),2023-06-01,KG,60.0,70.0,66.0
French Bean(Rajma),2023-06-01,KG,110.0,120.0,116.67
Garlic Dry Chinese,2023-06-01,KG,240.0,250.0,246.0
Garlic Dry Nepali,2023-06-01,KG,180.0,200.0,193.33
Garlic Green,2023-06-01,KG,70.0,80.0,76.67
Ginger,2023-06-01,KG,240.0,260.0,250.0
Grapes(Green),2023-06-01,KG,250.0,280.0,265.0
Green Peas,2023-06-01,KG,180.0,200.0,190.0
Gundruk,2023-06-01,KG,250.0,300.0,283.33
Jack Fruit,2023-06-01,KG,30.0,40.0,35.0
Kiwi,2023-06-01,KG,400.0,500.0,450.0
Knolkhol,2023-06-01,KG,70.0,80.0,76.67
Lettuce,2023-06-01,KG,70.0,80.0,76.67
Lime,2023-06-01,KG,150.0,180.0,170.0
Litchi(Local),2023-06-01,KG,200.0,250.0,225.0
Mandarin,2023-06-01,KG,200.0,220.0,210.0
Mango(Dushari),2023-06-01,KG,180.0,200.0,193.33
Mango(Maldah),2023-06-01,KG,110.0,130.0,120.0
Mint,2023-06-01,KG,90.0,100.0,96.67
Mushroom(Button),2023-06-01,KG,280.0,310.0,294.0
Mushroom(Kanya),2023-06-01,KG,130.0,160.0,145.0
Mustard Leaf,2023-06-01,KG,40.0,50.0,46.67
Neuro,2023-06-01,KG,70.0,80.0,76.67
Okara,2023-06-01,KG,70.0,80.0,74.0
Onion Dry (Indian),2023-06-01,KG,43.0,45.0,44.2
Onion Green,2023-06-01,KG,70.0,80.0,76.67
Papaya(Indian),2023-06-01,KG,110.0,120.0,116.67
Parseley,2023-06-01,KG,220.0,250.0,235.0
Pineapple,2023-06-01,1 Pc,200.0,220.0,210.0
Pointed Gourd(Local),2023-06-01,KG,70.0,80.0,75.0
Pointed Gourd(Terai),2023-06-01,KG,60.0,70.0,65.0
Pomegranate,2023-06-01,KG,320.0,350.0,335.0
Potato Red,2023-06-01,KG,40.0,42.0,41.0
Potato Red(Indian),2023-06-01,KG,34.0,35.0,34.67
Potato Red(Mude),2023-06-01,KG,40.0,42.0,41.0
Potato White,2023-06-01,KG,30.0,33.0,31.67
Pumpkin,2023-06-01,KG,40.0,45.0,42.5
Raddish Red,2023-06-01,KG,50.0,60.0,56.67
Raddish White(Hybrid),2023-06-01,KG,15.0,20.0,17.5
Raddish White(Local),2023-06-01,KG,10.0,15.0,12.4
Red Cabbbage,2023-06-01,KG,70.0,80.0,76.67
Smooth Gourd,2023-06-01,KG,60.0,70.0,65.0
Snake Gourd,2023-06-01,KG,30.0,40.0,36.67
Soyabean Green,2023-06-01,KG,120.0,140.0,130.0
Spinach Leaf,2023-06-01,KG,90.0,100.0,96.67
Sponge Gourd,2023-06-01,KG,50.0,60.0,56.67
Squash(Long),2023-06-01,KG,30.0,35.0,32.5
Squash(Round),2023-06-01,KG,30.0,35.0,32.5
Sugarbeet,2023-06-01,KG,70.0,80.0,76.67
Sweet Orange,2023-06-01,KG,150.0,160.0,156.67
Sweet Potato,2023-06-01,KG,90.0,100.0,96.67
Tamarind,2023-06-01,KG,130.0,140.0,135.0
Tofu,2023-06-01,KG,110.0,120.0,116.67
Tomato Big(Indian),2023-06-01,KG,40.0,50.0,46.67
Tomato Big(Nepali),2023-06-01,KG,25.0,30.0,27.5
Tomato Small(Local),2023-06-01,KG,15.0,20.0,17.5
Tomato Small(Tunnel),2023-06-01,KG,30.0,40.0,35.0
Turnip,2023-06-01,KG,70.0,80.0,76.67
Turnip A,2023-06-01,KG,70.0,80.0,76.67
Water Melon(Green),2023-06-01,KG,40.0,45.0,43.33
Apple(Fuji),2023-06-02,KG,280.0,320.0,300.0
Asparagus,2023-06-02,KG,200.0,250.0,233.33
Avocado,2023-06-02,KG,400.0,500.0,450.0
Bamboo Shoot,2023-06-02,KG,90.0,100.0,96.67
Banana,2023-06-02,Per Dozen,140.0,150.0,145.0
Bitter Gourd,2023-06-02,KG,40.0,50.0,45.0
Bottle Gourd,2023-06-02,KG,60.0,70.0,66.67
Brd Leaf Mustard,2023-06-02,KG,30.0,40.0,36.67
Brinjal Long,2023-06-02,KG,45.0,55.0,51.0
Brinjal Round,2023-06-02,KG,70.0,80.0,76.67
Brocauli,2023-06-02,KG,90.0,100.0,95.0
Cabbage(Local),2023-06-02,KG,8.0,12.0,9.6
Capsicum,2023-06-02,KG,80.0,90.0,86.0
Carrot(Local),2023-06-02,KG,70.0,80.0,75.0
Cauli Local,2023-06-02,KG,70.0,80.0,76.0
Cauli Local(Jyapu),2023-06-02,KG,80.0,90.0,85.0
Celery,2023-06-02,KG,120.0,150.0,140.0
Chilli Dry,2023-06-02,KG,450.0,480.0,465.0
Chilli Green,2023-06-02,KG,70.0,80.0,75.0
Chilli Green(Akbare),2023-06-02,KG,300.0,350.0,325.0
Chilli Green(Bullet),2023-06-02,KG,70.0,80.0,76.67
Chilli Green(Machhe),2023-06-02,KG,40.0,50.0,46.67
Christophine,2023-06-02,KG,60.0,70.0,66.67
Clive Dry,2023-06-02,KG,120.0,130.0,126.67
Clive Green,2023-06-02,KG,80.0,90.0,86.67
Coriander Green,2023-06-02,KG,200.0,250.0,225.0
Cow pea(Long),2023-06-02,KG,50.0,60.0,55.0
Cowpea(Short),2023-06-02,KG,50.0,60.0,56.67
Cress Leaf,2023-06-02,KG,90.0,100.0,96.67
Cucumber(Hybrid),2023-06-02,KG,50.0,60.0,56.67
Cucumber(Local),2023-06-02,KG,120.0,140.0,130.0
Drumstick,2023-06-02,KG,60.0,70.0,65.0
Fennel Leaf,2023-06-02,KG,90.0,100.0,96.67
Fenugreek Leaf,2023-06-02,KG,90.0,100.0,96.67
Fish Fresh(Bachuwa),2023-06-02,KG,260.0,280.0,270.0
Fish Fresh(Chhadi),2023-06-02,KG,240.0,260.0,250.0
Fish Fresh(Mungari),2023-06-02,KG,320.0,350.0,335.0
Fish Fresh(Rahu),2023-06-02,KG,330.0,350.0,343.33
French Bean(Hybrid),2023-06-02,KG,70.0,80.0,77.5
French Bean(Local),2023-06-02,KG,60.0,70.0,65.0
French Bean(Rajma),2023-06-02,KG,110.0,120.0,115.0
Garlic Dry Chinese,2023-06-02,KG,240.0,250.0,245.0
Garlic Dry Nepali,2023-06-02,KG,180.0,200.0,193.33
Garlic Green,2023-06-02,KG,70.0,80.0,75.0
Ginger,2023-06-02,KG,240.0,260.0,250.0
Grapes(Green),2023-06-02,KG,250.0,260.0,255.0
Green Peas,2023-06-02,KG,180.0,200.0,190.0
Gundruk,2023-06-02,KG,250.0,300.0,275.0
Jack Fruit,2023-06-02,KG,30.0,40.0,35.0
Kiwi,2023-06-02,KG,400.0,500.0,450.0
Knolkhol,2023-06-02,KG,70.0,80.0,76.67
Lettuce,2023-06-02,KG,70.0,80.0,76.67
Lime,2023-06-02,KG,150.0,180.0,163.33
Litchi(Indian),2023-06-02,KG,280.0,300.0,293.33
Litchi(Local),2023-06-02,KG,180.0,200.0,193.33
Mandarin,2023-06-02,KG,200.0,220.0,210.0
Mango(Dushari),2023-06-02,KG,150.0,180.0,165.0
Mango(Maldah),2023-06-02,KG,100.0,120.0,110.0
Mint,2023-06-02,KG,90.0,100.0,96.67
Mushroom(Button),2023-06-02,KG,270.0,320.0,294.0
Mushroom(Kanya),2023-06-02,KG,140.0,180.0,156.0
Mustard Leaf,2023-06-02,KG,30.0,40.0,35.0
Neuro,2023-06-02,KG,70.0,80.0,76.67
Okara,2023-06-02,KG,60.0,70.0,66.0
Onion Dry (Indian),2023-06-02,KG,50.0,52.0,51.0
Onion Green,2023-06-02,KG,70.0,80.0,76.67
Papaya(Indian),2023-06-02,KG,110.0,120.0,116.67
Parseley,2023-06-02,KG,220.0,250.0,235.0
Pineapple,2023-06-02,1 Pc,200.0,250.0,225.0
Pointed Gourd(Local),2023-06-02,KG,80.0,90.0,85.0
Pointed Gourd(Terai),2023-06-02,KG,60.0,70.0,65.0
Pomegranate,2023-06-02,KG,320.0,350.0,335.0
Potato Red,2023-06-02,KG,40.0,42.0,41.0
Potato Red(Indian),2023-06-02,KG,35.0,36.0,35.5
Potato Red(Mude),2023-06-02,KG,40.0,42.0,41.0
Potato White,2023-06-02,KG,34.0,35.0,34.67
Pumpkin,2023-06-02,KG,40.0,45.0,43.33
Raddish Red,2023-06-02,KG,40.0,50.0,45.0
Raddish White(Hybrid),2023-06-02,KG,15.0,20.0,17.5
Raddish White(Local),2023-06-02,KG,12.0,15.0,13.8
Red Cabbbage,2023-06-02,KG,50.0,60.0,56.67
Smooth Gourd,2023-06-02,KG,50.0,60.0,56.0
Snake Gourd,2023-06-02,KG,30.0,40.0,35.0
Soyabean Green,2023-06-02,KG,110.0,120.0,116.0
Spinach Leaf,2023-06-02,KG,90.0,100.0,96.67
Sponge Gourd,2023-06-02,KG,50.0,60.0,56.67
Squash(Long),2023-06-02,KG,30.0,40.0,35.0
Squash(Round),2023-06-02,KG,30.0,40.0,36.67
Sugarbeet,2023-06-02,KG,70.0,80.0,76.67
Sweet Orange,2023-06-02,KG,150.0,180.0,165.0
Sweet Potato,2023-06-02,KG,90.0,100.0,95.0
Sword Bean,2023-06-02,KG,140.0,150.0,146.67
Tamarind,2023-06-02,KG,130.0,140.0,135.0
Tofu,2023-06-02,KG,110.0,120.0,116.67
Tomato Big(Indian),2023-06-02,KG,40.0,50.0,45.0
Tomato Big(Nepali),2023-06-02,KG,25.0,30.0,27.5
Tomato Small(Local),2023-06-02,KG,15.0,22.0,18.4
Tomato Small(Tunnel),2023-06-02,KG,30.0,40.0,35.0
Turnip,2023-06-02,KG,70.0,80.0,76.67
Turnip A,2023-06-02,KG,70.0,80.0,76.67
Water Melon(Green),2023-06-02,KG,40.0,45.0,43.33
Apple(Fuji),2023-06-03,KG,280.0,320.0,304.0
Asparagus,2023-06-03,KG,200.0,250.0,233.33
Avocado,2023-06-03,KG,400.0,500.0,450.0
Bamboo Shoot,2023-06-03,KG,90.0,100.0,96.67
Banana,2023-06-03,Per Dozen,130.0,140.0,136.67
Bitter Gourd,2023-06-03,KG,40.0,50.0,45.0
Bottle Gourd,2023-06-03,KG,50.0,60.0,55.0
Brd Leaf Mustard,2023-06-03,KG,40.0,50.0,45.0
Brinjal Long,2023-06-03,KG,40.0,50.0,45.0
Brinjal Round,2023-06-03,KG,50.0,60.0,55.0
Brocauli,2023-06-03,KG,90.0,100.0,95.0
Cabbage(Local),2023-06-03,KG,8.0,12.0,10.0
Capsicum,2023-06-03,KG,70.0,80.0,75.0
Carrot(Local),2023-06-03,KG,80.0,90.0,85.0
Cauli Local,2023-06-03,KG,60.0,70.0,65.0
Cauli Local(Jyapu),2023-06-03,KG,70.0,80.0,76.67
Celery,2023-06-03,KG,110.0,120.0,116.67
Chilli Dry,2023-06-03,KG,450.0,480.0,465.0
Chilli Green,2023-06-03,KG,50.0,60.0,56.67
Chilli Green(Akbare),2023-06-03,KG,300.0,400.0,350.0
Chilli Green(Bullet),2023-06-03,KG,80.0,90.0,86.67
Chilli Green(Machhe),2023-06-03,KG,40.0,50.0,46.67
Christophine,2023-06-03,KG,60.0,70.0,66.67
Clive Dry,2023-06-03,KG,120.0,130.0,123.33
Clive Green,2023-06-03,KG,80.0,90.0,86.67
Coriander Green,2023-06-03,KG,200.0,250.0,225.0
Cow pea(Long),2023-06-03,KG,90.0,100.0,95.0
Cowpea(Short),2023-06-03,KG,70.0,80.0,75.0
Cress Leaf,2023-06-03,KG,110.0,120.0,116.67
Cucumber(Hybrid),2023-06-03,KG,50.0,60.0,55.0
Cucumber(Local),2023-06-03,KG,120.0,140.0,130.0
Drumstick,2023-06-03,KG,70.0,80.0,75.0
Fennel Leaf,2023-06-03,KG,110.0,120.0,116.67
Fenugreek Leaf,2023-06-03,KG,110.0,120.0,116.67
Fish Fresh(Bachuwa),2023-06-03,KG,260.0,280.0,270.0
Fish Fresh(Chhadi),2023-06-03,KG,250.0,280.0,265.0
Fish Fresh(Mungari),2023-06-03,KG,320.0,350.0,335.0
Fish Fresh(Rahu),2023-06-03,KG,330.0,350.0,340.0
French Bean(Hybrid),2023-06-03,KG,70.0,80.0,76.67
French Bean(Local),2023-06-03,KG,50.0,60.0,55.0
French Bean(Rajma),2023-06-03,KG,110.0,120.0,116.67
Garlic Dry Chinese,2023-06-03,KG,240.0,250.0,246.0
Garlic Dry Nepali,2023-06-03,KG,200.0,220.0,210.0
Garlic Green,2023-06-03,KG,70.0,80.0,76.67
Ginger,2023-06-03,KG,240.0,250.0,246.0
Grapes(Green),2023-06-03,KG,250.0,280.0,265.0
Green Peas,2023-06-03,KG,180.0,200.0,190.0
Gundruk,2023-06-03,KG,250.0,300.0,275.0
Jack Fruit,2023-06-03,KG,30.0,40.0,36.67
Kiwi,2023-06-03,KG,400.0,500.0,450.0
Knolkhol,2023-06-03,KG,70.0,80.0,76.67
Lettuce,2023-06-03,KG,70.0,80.0,76.67
Lime,2023-06-03,KG,150.0,180.0,163.33
Litchi(Indian),2023-06-03,KG,250.0,300.0,283.33
Litchi(Local),2023-06-03,KG,180.0,200.0,193.33
Mandarin,2023-06-03,KG,200.0,250.0,225.0
Mango(Dushari),2023-06-03,KG,150.0,180.0,165.0
Mango(Maldah),2023-06-03,KG,100.0,120.0,110.0
Mint,2023-06-03,KG,90.0,100.0,96.67
Mushroom(Button),2023-06-03,KG,300.0,350.0,324.0
Mushroom(Kanya),2023-06-03,KG,150.0,180.0,164.0
Mustard Leaf,2023-06-03,KG,30.0,40.0,36.67
Neuro,2023-06-03,KG,70.0,80.0,76.67
Okara,2023-06-03,KG,60.0,70.0,65.0
Onion Dry (Indian),2023-06-03,KG,50.0,52.0,51.2
Onion Green,2023-06-03,KG,60.0,70.0,66.67
Papaya(Indian),2023-06-03,KG,110.0,120.0,115.0
Parseley,2023-06-03,KG,220.0,250.0,235.0
Pineapple,2023-06-03,1 Pc,180.0,200.0,190.0
Pointed Gourd(Local),2023-06-03,KG,80.0,90.0,85.0
Pointed Gourd(Terai),2023-06-03,KG,60.0,70.0,65.0
Pomegranate,2023-06-03,KG,350.0,400.0,376.67
Potato Red,2023-06-03,KG,40.0,42.0,41.0
Potato Red(Indian),2023-06-03,KG,34.0,36.0,35.0
Potato Red(Mude),2023-06-03,KG,38.0,40.0,39.33
Potato White,2023-06-03,KG,34.0,35.0,34.67
Pumpkin,2023-06-03,KG,40.0,45.0,42.5
Raddish Red,2023-06-03,KG,40.0,50.0,46.67
Raddish White(Hybrid),2023-06-03,KG,20.0,25.0,22.5
Raddish White(Local),2023-06-03,KG,15.0,20.0,17.5
Red Cabbbage,2023-06-03,KG,60.0,70.0,65.0
Smooth Gourd,2023-06-03,KG,60.0,70.0,65.0
Snake Gourd,2023-06-03,KG,30.0,40.0,36.67
Soyabean Green,2023-06-03,KG,120.0,140.0,126.67
Spinach Leaf,2023-06-03,KG,110.0,120.0,116.67
Sponge Gourd,2023-06-03,KG,50.0,60.0,55.0
Squash(Long),2023-06-03,KG,50.0,60.0,55.0
Squash(Round),2023-06-03,KG,40.0,50.0,46.67
Sugarbeet,2023-06-03,KG,70.0,80.0,76.67
Sweet Orange,2023-06-03,KG,150.0,200.0,175.0
Sweet Potato,2023-06-03,KG,90.0,100.0,95.0
Sword Bean,2023-06-03,KG,140.0,150.0,145.0
Tamarind,2023-06-03,KG,130.0,140.0,136.67
Tofu,2023-06-03,KG,110.0,120.0,116.67
Tomato Big(Indian),2023-06-03,KG,30.0,40.0,35.0
Tomato Big(Nepali),2023-06-03,KG,25.0,30.0,27.5
Tomato Small(Local),2023-06-03,KG,15.0,20.0,18.0
Tomato Small(Tunnel),2023-06-03,KG,30.0,40.0,35.0
Turnip,2023-06-03,KG,70.0,80.0,76.67
Turnip A,2023-06-03,KG,70.0,80.0,76.67
Water Melon(Green),2023-06-03,KG,40.0,45.0,43.33
Apple(Fuji),2023-06-04,KG,280.0,320.0,300.0
Asparagus,2023-06-04,KG,200.0,250.0,225.0
Avocado,2023-06-04,KG,400.0,500.0,450.0
Bamboo Shoot,2023-06-04,KG,90.0,100.0,95.0
Banana,2023-06-04,Per Dozen,130.0,140.0,135.0
Bitter Gourd,2023-06-04,KG,40.0,50.0,45.0
Bottle Gourd,2023-06-04,KG,50.0,60.0,55.0
Brd Leaf Mustard,2023-06-04,KG,40.0,50.0,45.0
Brinjal Long,2023-06-04,KG,40.0,50.0,45.0
Brinjal Round,2023-06-04,KG,50.0,60.0,55.0
Brocauli,2023-06-04,KG,90.0,100.0,95.0
Cabbage(Local),2023-06-04,KG,10.0,12.0,11.0
Capsicum,2023-06-04,KG,60.0,70.0,65.0
Carrot(Local),2023-06-04,KG,90.0,100.0,95.0
Cauli Local,2023-06-04,KG,60.0,70.0,65.0
Cauli Local(Jyapu),2023-06-04,KG,70.0,80.0,75.0
Celery,2023-06-04,KG,110.0,120.0,115.0
Chilli Dry,2023-06-04,KG,450.0,480.0,465.0
Chilli Green,2023-06-04,KG,50.0,60.0,55.0
Chilli Green(Akbare),2023-06-04,KG,300.0,350.0,325.0
Chilli Green(Bullet),2023-06-04,KG,70.0,80.0,75.0
Chilli Green(Machhe),2023-06-04,KG,35.0,45.0,40.0
Christophine,2023-06-04,KG,50.0,60.0,55.0
Clive Dry,2023-06-04,KG,120.0,130.0,125.0
Clive Green,2023-06-04,KG,80.0,90.0,85.0
Coriander Green,2023-06-04,KG,200.0,250.0,226.67
Cow pea(Long),2023-06-04,KG,90.0,100.0,95.0
Cowpea(Short),2023-06-04,KG,70.0,80.0,75.0
Cress Leaf,2023-06-04,KG,110.0,120.0,115.0
Cucumber(Hybrid),2023-06-04,KG,60.0,70.0,65.0
Cucumber(Local),2023-06-04,KG,110.0,120.0,115.0
Drumstick,2023-06-04,KG,70.0,80.0,75.0
Fennel Leaf,2023-06-04,KG,110.0,120.0,115.0
Fenugreek Leaf,2023-06-04,KG,110.0,120.0,115.0
Fish Fresh(Bachuwa),2023-06-04,KG,260.0,280.0,270.0
Fish Fresh(Chhadi),2023-06-04,KG,250.0,280.0,265.0
Fish Fresh(Mungari),2023-06-04,KG,320.0,350.0,335.0
Fish Fresh(Rahu),2023-06-04,KG,330.0,350.0,340.0
French Bean(Hybrid),2023-06-04,KG,80.0,90.0,85.0
French Bean(Local),2023-06-04,KG,60.0,70.0,65.0
French Bean(Rajma),2023-06-04,KG,110.0,120.0,115.0
Garlic Dry Chinese,2023-06-04,KG,240.0,250.0,245.0
Garlic Dry Nepali,2023-06-04,KG,200.0,220.0,210.0
Garlic Green,2023-06-04,KG,70.0,80.0,75.0
Ginger,2023-06-04,KG,240.0,250.0,245.0
Grapes(Green),2023-06-04,KG,250.0,280.0,265.0
Green Peas,2023-06-04,KG,180.0,200.0,190.0
Gundruk,2023-06-04,KG,250.0,300.0,275.0
Jack Fruit,2023-06-04,KG,30.0,40.0,35.0
Kiwi,2023-06-04,KG,400.0,500.0,450.0
Knolkhol,2023-06-04,KG,70.0,80.0,75.0
Lettuce,2023-06-04,KG,70.0,80.0,75.0
Lime,2023-06-04,KG,150.0,180.0,163.33
Litchi(Indian),2023-06-04,KG,250.0,300.0,275.0
Litchi(Local),2023-06-04,KG,180.0,200.0,190.0
Mandarin,2023-06-04,KG,200.0,250.0,225.0
Mango(Dushari),2023-06-04,KG,150.0,180.0,165.0
Mango(Maldah),2023-06-04,KG,100.0,120.0,110.0
Mint,2023-06-04,KG,90.0,100.0,95.0
Mushroom(Button),2023-06-04,KG,350.0,400.0,376.67
Mushroom(Kanya),2023-06-04,KG,150.0,200.0,176.67
Mustard Leaf,2023-06-04,KG,30.0,40.0,35.0
Neuro,2023-06-04,KG,70.0,80.0,75.0
Okara,2023-06-04,KG,60.0,70.0,65.0
Onion Dry (Indian),2023-06-04,KG,50.0,52.0,51.0
Onion Green,2023-06-04,KG,60.0,70.0,65.0
Papaya(Indian),2023-06-04,KG,110.0,120.0,115.0
Papaya(Nepali),2023-06-04,KG,110.0,120.0,115.0
Parseley,2023-06-04,KG,220.0,250.0,235.0
Pineapple,2023-06-04,1 Pc,180.0,200.0,190.0
Pointed Gourd(Local),2023-06-04,KG,70.0,80.0,75.0
Pointed Gourd(Terai),2023-06-04,KG,70.0,80.0,75.0
Pomegranate,2023-06-04,KG,350.0,400.0,375.0
Potato Red,2023-06-04,KG,40.0,42.0,41.0
Potato Red(Indian),2023-06-04,KG,34.0,36.0,35.0
Potato Red(Mude),2023-06-04,KG,38.0,40.0,39.0
Potato White,2023-06-04,KG,34.0,36.0,35.0
Pumpkin,2023-06-04,KG,40.0,45.0,42.33
Raddish Red,2023-06-04,KG,40.0,45.0,42.33
Raddish White(Hybrid),2023-06-04,KG,20.0,25.0,22.33
Raddish White(Local),2023-06-04,KG,15.0,20.0,17.67
Red Cabbbage,2023-06-04,KG,60.0,70.0,65.0
Smooth Gourd,2023-06-04,KG,60.0,70.0,65.0
Snake Gourd,2023-06-04,KG,30.0,40.0,35.0
Soyabean Green,2023-06-04,KG,120.0,140.0,130.0
Spinach Leaf,2023-06-04,KG,110.0,120.0,115.0
Squash(Long),2023-06-04,KG,40.0,50.0,45.0
Squash(Round),2023-06-04,KG,40.0,50.0,45.0
Sugarbeet,2023-06-04,KG,70.0,80.0,75.0
Sweet Orange,2023-06-04,KG,150.0,200.0,175.0
Sweet Potato,2023-06-04,KG,90.0,100.0,95.0
Sword Bean,2023-06-04,KG,140.0,150.0,145.0
Tamarind,2023-06-04,KG,130.0,150.0,140.0
Tofu,2023-06-04,KG,110.0,120.0,115.0
Tomato Big(Indian),2023-06-04,KG,30.0,40.0,35.0
Tomato Big(Nepali),2023-06-04,KG,25.0,30.0,27.67
Tomato Small(Local),2023-06-04,KG,15.0,20.0,17.67
Tomato Small(Tunnel),2023-06-04,KG,27.0,35.0,30.67
Turnip,2023-06-04,KG,70.0,80.0,75.0
Turnip A,2023-06-04,KG,70.0,80.0,75.0
Water Melon(Green),2023-06-04,KG,40.0,45.0,42.33
Apple(Fuji),2023-06-05,KG,280.0,320.0,300.0
Asparagus,2023-06-05,KG,200.0,250.0,233.33
Avocado,2023-06-05,KG,500.0,600.0,550.0
Bamboo Shoot,2023-06-05,KG,90.0,100.0,96.67
Banana,2023-06-05,Per Dozen,120.0,140.0,130.0
Bitter Gourd,2023-06-05,KG,40.0,50.0,45.0
Bottle Gourd,2023-06-05,KG,60.0,70.0,66.67
Brd Leaf Mustard,2023-06-05,KG,40.0,50.0,45.0
Brinjal Long,2023-06-05,KG,30.0,40.0,36.0
Brinjal Round,2023-06-05,KG,60.0,70.0,66.67
Brocauli,2023-06-05,KG,80.0,90.0,86.0
Cabbage(Local),2023-06-05,KG,12.0,15.0,13.6
Capsicum,2023-06-05,KG,80.0,90.0,84.0
Carrot(Local),2023-06-05,KG,90.0,100.0,95.0
Cauli Local,2023-06-05,KG,60.0,70.0,65.0
Cauli Local(Jyapu),2023-06-05,KG,70.0,80.0,76.67
Celery,2023-06-05,KG,120.0,150.0,140.0
Chilli Dry,2023-06-05,KG,450.0,480.0,465.0
Chilli Green,2023-06-05,KG,80.0,90.0,85.0
Chilli Green(Akbare),2023-06-05,KG,250.0,300.0,275.0
Chilli Green(Bullet),2023-06-05,KG,80.0,90.0,85.0
Chilli Green(Machhe),2023-06-05,KG,50.0,60.0,55.0
Christophine,2023-06-05,KG,50.0,60.0,56.0
Clive Dry,2023-06-05,KG,120.0,130.0,126.67
Clive Green,2023-06-05,KG,80.0,90.0,85.0
Coriander Green,2023-06-05,KG,300.0,400.0,350.0
Cow pea(Long),2023-06-05,KG,70.0,80.0,76.0
Cowpea(Short),2023-06-05,KG,60.0,70.0,66.67
Cress Leaf,2023-06-05,KG,90.0,100.0,96.67
Cucumber(Hybrid),2023-06-05,KG,50.0,60.0,55.0
Cucumber(Local),2023-06-05,KG,100.0,110.0,105.0
Drumstick,2023-06-05,KG,80.0,90.0,86.67
Fennel Leaf,2023-06-05,KG,90.0,100.0,96.67
Fenugreek Leaf,2023-06-05,KG,90.0,100.0,96.67
Fish Fresh(Bachuwa),2023-06-05,KG,260.0,280.0,273.33
Fish Fresh(Chhadi),2023-06-05,KG,240.0,260.0,253.33
Fish Fresh(Mungari),2023-06-05,KG,320.0,350.0,335.0
Fish Fresh(Rahu),2023-06-05,KG,310.0,330.0,323.33
French Bean(Hybrid),2023-06-05,KG,70.0,80.0,75.0
French Bean(Local),2023-06-05,KG,60.0,70.0,65.0
French Bean(Rajma),2023-06-05,KG,110.0,120.0,116.67
Garlic Dry Chinese,2023-06-05,KG,230.0,250.0,238.0
Garlic Dry Nepali,2023-06-05,KG,160.0,180.0,170.0
Garlic Green,2023-06-05,KG,70.0,80.0,76.67
Ginger,2023-06-05,KG,250.0,260.0,255.0
Grapes(Green),2023-06-05,KG,200.0,250.0,225.0
Green Peas,2023-06-05,KG,190.0,200.0,196.67
Gundruk,2023-06-05,KG,250.0,300.0,275.0
Jack Fruit,2023-06-05,KG,30.0,40.0,35.0
Kiwi,2023-06-05,KG,400.0,500.0,450.0
Knolkhol,2023-06-05,KG,70.0,80.0,76.67
Lettuce,2023-06-05,KG,70.0,80.0,76.67
Lime,2023-06-05,KG,150.0,180.0,165.0
Litchi(Indian),2023-06-05,KG,200.0,250.0,223.33
Litchi(Local),2023-06-05,KG,180.0,200.0,190.0
Mandarin,2023-06-05,KG,200.0,220.0,210.0
Mango(Dushari),2023-06-05,KG,90.0,100.0,96.67
Mango(Maldah),2023-06-05,KG,90.0,100.0,95.0
Mint,2023-06-05,KG,150.0,180.0,170.0
